TABLE;CODE;PAC1;PAC2;VOLTAGE;PHASES;SEC_PHASES;VOLTAGE_TYPE;FEEDER;TRANSFORMER_TYPE
UCBT;91402866;15168083PE;;;AN;;BT;BRBBB-FC;
UCBT;96488661;13799607PE;;;AN;;BT;BRBBB-FC;
UCBT;91400510;15168129PE;;;AN;;BT;BRBBB-FC;
UCBT;91401053;15168123PE;;;AN;;BT;BRBBB-FC;
UCBT;91401460;15168078PE;;;AN;;BT;BRBBB-FC;
UCBT;96488637;6917774PE;;;AN;;BT;BRBBB-FC;
UCBT;96677936;6918285PE;;;AN;;BT;BRBBB-FC;
UCBT;91875900;6749976PE;;;AN;;BT;BRBBB-FC;
UCBT;94950147;15166115PE;;;AN;;BT;BRBBB-FC;
UCBT;92426831;16195072PE;;;AN;;BT;BRBBB-FC;
UCBT;95546226;6915867PE;;;AN;;BT;BRBBB-FC;
UCBT;90197649;15168275PE;;;AN;;BT;BRBBB-FC;
UCBT;94946786;6758390PE;;;AN;;BT;BRBBB-FC;
UCBT;92369080;16195090PE;;;AN;;BT;BRBBB-FC;
UCBT;91402076;15168080PE;;;AN;;BT;BRBBB-FC;
UCBT;91402289;15168089PE;;;AN;;BT;BRBBB-FC;
UCBT;94950309;6758764PE;;;AN;;BT;BRBBB-FC;
UCBT;94947375;6750111PE;;;AN;;BT;BRBBB-FC;
UCBT;91402343;15168113PE;;;AN;;BT;BRBBB-FC;
UCBT;91402432;15168111PE;;;AN;;BT;BRBBB-FC;
UCBT;91402548;15168081PE;;;AN;;BT;BRBBB-FC;
UCBT;93965906;6750136PE;;;AN;;BT;BRBBB-FC;
UCBT;97818673;16195066PE;;;AN;;BT;BRBBB-FC;
UCBT;97873283;6921813PE;;;AN;;BT;BRBBB-FC;
UCBT;97868662;13985723PE;;;AN;;BT;BRBBB-FC;
UCBT;103398452;15168047PE;;;ABN;;BT;BRBBB-FC;
UCBT;97819769;6921553PE;;;AN;;BT;BRBBB-FC;
UCBT;99585692;15485986PE;;;AN;;BT;BRBBB-FC;
UCBT;97820252;6921563PE;;;AN;;BT;BRBBB-FC;
UCBT;102514394;16195135PE;;;AN;;BT;BRBBB-FC;
UCBT;105785801;13801305PE;;;AN;;BT;BRBBB-FC;
UCBT;103248515;16167140PE;;;AN;;BT;BRBBB-FC;
UCBT;107123105;13801522PE;;;AN;;BT;BRBBB-FC;
UCBT;2000096247;13799392PE;;;AN;;BT;BRBBB-FC;
UCBT;2000333493;14224571PE;;;AN;;BT;BRBBB-FC;
UCBT;2000411767;14210271PE;;;AN;;BT;BRBBB-FC;
UCBT;2000254096;14020318PE;;;AN;;BT;BRBBB-FC;
UCBT;2000254123;14020433PE;;;AN;;BT;BRBBB-FC;
UCBT;2000254163;14020392PE;;;AN;;BT;BRBBB-FC;
UCBT;17322842;16195096PE;;;AN;;BT;BRBBB-FC;
UCBT;17323024;6750134PE;;;AN;;BT;BRBBB-FC;
UCBT;17323210;16195095PE;;;AN;;BT;BRBBB-FC;
UCBT;5492750;13803205PE;;;AN;;BT;BRBBB-FC;
UCBT;18327252;6758707PE;;;AN;;BT;BRBBB-FC;
UCBT;91401754;15168120PE;;;AN;;BT;BRBBB-FC;
UCBT;91402386;15168112PE;;;AN;;BT;BRBBB-FC;
UCBT;91402602;15168082PE;;;AN;;BT;BRBBB-FC;
UCBT;2000040832;13799046PE;;;AN;;BT;BRBBB-FC;
UCBT;109495336;13802125PE;;;AN;;BT;BRBBB-FC;
UCBT;17430190;13985197PE;;;AN;;BT;BRBBB-FC;
UCBT;20247428;7901151PE;;;AN;;BT;BRBBB-FC;
UCBT;2000363183;14224658PE;;;AN;;BT;BRBBB-FC;
UCBT;2000126993;12604171PE;;;ABN;;BT;BRBBB-FC;
UCBT;2000394588;16261418PE;;;AN;;BT;BRBBB-FC;
UCBT;2000131023;10651668PE;;;AN;;BT;BRBBB-FC;
UCBT;2000394586;16261417PE;;;AN;;BT;BRBBB-FC;
UCBT;2000625914;16083959PE;;;AN;;BT;BRBBB-FC;
UCBT;2000597044;15948148PE;;;AN;;BT;BRBBB-FC;
UCBT;2000352300;15487326PE;;;AN;;BT;BRBBB-FC;
UCBT;2000532811;15488796PE;;;AN;;BT;BRBBB-FC;
UCBT;103470498;13800528PE;;;AN;;BT;BRBBB-FC;
UCBT;2000620389;16563379PE;;;AN;;BT;BRBBB-FC;
UCBT;2000337645;15487216PE;;;AN;;BT;BRBBB-FC;
UCBT;91286084;6758766PE;;;AN;;BT;BRBBB-FC;
