"TABLE","CODE","PAC1","PAC2","VOLTAGE","PHASES","SEC_PHASES","VOLTAGE_TYPE","FEEDER","TRANSFORMER_TYPE","X1","Y1","X2","Y2"
"UCBT","2000494010","16534262PE","",,"AN","","BT","BRBBB-FC","",-49.509385874,-3.99564346099999,0,0
"UCBT","2000083217","16506408PE","",,"AN","","BT","BRBBB-FC","",-49.509385874,-3.99564346099999,0,0
"UCBT","108552263","13801951PE","",,"AN","","BT","BRBBB-FC","",-49.614183606,-3.80246046100001,0,0
"UCBT","15136391","13808012PE","",,"AN","","BT","BRBBB-FC","",-49.461283379,-3.82884050000001,0,0
"UCBT","20608978","16166182PE","",,"AN","","BT","BRBBB-FC","",-49.472103303,-4.02305078199998,0,0
"UCBT","14057323","6749854PE","",,"AN","","BT","BRBBB-FC","",-49.599063585,-3.79570044399998,0,0
"UCBT","96089309","13799659PE","",,"AN","","BT","BRBBB-FC","",-49.512803464,-3.99661075,0,0
"UCBT","2000397913","15035262PE","",,"AN","","BT","BRBBB-FC","",-49.467406205,-3.27244057399997,0,0
"UCBT","17904418","15168168PE","",,"AN","","BT","BRBBB-FC","",-49.425639674,-4.03602446299999,0,0
"UCBT","2000254171","14020401PE","",,"AN","","BT","BRBBB-FC","",-49.381002519,-3.87008484199998,0,0
"UCBT","102514343","17523849PE","",,"AN","","BT","BRBBB-FC","",-49.48517906,-3.76112728599998,0,0
"UCBT","2000081991","8741987PE","",,"AN","","BT","BRBBB-FC","",-49.511893461,-3.96543069900002,0,0
"UCBT","103043816","16169398PE","",,"AN","","BT","BRBBB-FC","",-49.504615086,-3.91223673299999,0,0
"UCBT","2000481782","15199726PE","",,"AN","","BT","BRBBB-FC","",-49.557890339,-3.52073594900003,0,0
"UCBT","10913322","13804702PE","",,"AN","","BT","BRBBB-FC","",-49.608897746,-3.56114624100002,0,0
"UCBT","17699954","5074569PE","",,"AN","","BT","BRBBB-FC","",-49.416759824,-4.05616476400002,0,0
"UCBT","5493099","16280823PE","",,"AN","","BT","BRBBB-FC","",-49.399910946,-3.77558456399998,0,0
"UCBT","17702483","5074570PE","",,"AN","","BT","BRBBB-FC","",-49.409979732,-4.05597460899997,0,0
"UCBT","16672912","13808239PE","",,"AN","","BT","BRBBB-FC","",-49.423269946,-4.00216467199999,0,0
"UCBT","2000320153","14923130PE","",,"AN","","BT","BRBBB-FC","",-49.501293435,-3.55091008599999,0,0
"UCBT","2000464405","14273852PE","",,"AN","","BT","BRBBB-FC","",-49.556751158,-3.51935262400002,0,0
"UCBT","2000434210","16166574PE","",,"AN","","BT","BRBBB-FC","",-49.603143584,-3.44331992000002,0,0
"UCBT","2000482047","16494782PE","",,"AN","","BT","BRBBB-FC","",-49.606783113,-3.55857045800002,0,0
"UCBT","109050067","16166651PE","",,"AN","","BT","BRBBB-FC","",-49.511293462,-3.99780075400002,0,0
"UCBT","2000094097","13799400PE","",,"AN","","BT","BRBBB-FC","",-49.603533579,-3.44267992900001,0,0
"UCBT","102514084","17523850PE","",,"AN","","BT","BRBBB-FC","",-49.48517906,-3.76112728599998,0,0
"UCBT","18447100","13797491PE","",,"AN","","BT","BRBBB-FC","",-49.407283304,-3.71696033199999,0,0
"UCBT","17415506","13808987PE","",,"AN","","BT","BRBBB-FC","",-49.520833475,-3.87546056600002,0,0
"UCBT","16279501","16168859PE","",,"AN","","BT","BRBBB-FC","",-49.47310138,-4.10271083800001,0,0
"UCBT","91606089","16165022PE","",,"AN","","BT","BRBBB-FC","",-49.41857871,-4.13654771500001,0,0
"UCBT","93966252","13798741PE","",,"AN","","BT","BRBBB-FC","",-49.554153517,-3.86938056399998,0,0
"UCBT","96681135","13799901PE","",,"AN","","BT","BRBBB-FC","",-49.587463541,-3.42094989200001,0,0
"UCBT","2000088157","13799089PE","",,"AN","","BT","BRBBB-FC","",-49.602823564,-3.44872993600001,0,0
"UCBT","109615919","16502635PE","",,"AN","","BT","BRBBB-FC","",-49.400006017,-3.77622253599998,0,0
"UCBT","2000338058","14937011PE","",,"AN","","BT","BRBBB-FC","",-49.478051517,-3.32109585000001,0,0
"UCBT","101336190","13800293PE","",,"AN","","BT","BRBBB-FC","",-49.445253357,-3.430139908,0,0
"UCBT","2000342876","14937002PE","",,"AN","","BT","BRBBB-FC","",-49.466589801,-3.257296741,0,0
"UCBT","2000083175","16509075PE","",,"AN","","BT","BRBBB-FC","",-49.509490178,-3.99473437299997,0,0
"UCBT","12571518","13806077PE","",,"AN","","BT","BRBBB-FC","",-49.462153379,-3.826690493,0,0
"UCBT","14496238","13807510PE","",,"AN","","BT","BRBBB-FC","",-49.541193493,-3.88742058499997,0,0
"UCBT","95525997","16240560PE","",,"AN","","BT","BRBBB-FC","",-49.509918201,-3.37623842199997,0,0
"UCBT","96489030","13799598PE","",,"AN","","BT","BRBBB-FC","",-49.540873504,-3.994000744,0,0
"UCBT","16857610","13808644PE","",,"AN","","BT","BRBBB-FC","",-49.575903671,-3.67424980099997,0,0
"UCBT","18443163","5074839PE","",,"AN","","BT","BRBBB-FC","",-49.418663322,-3.71999033999998,0,0
"UCBT","14495193","13807525PE","",,"AN","","BT","BRBBB-FC","",-49.540923501,-3.88630058699999,0,0
"UCBT","91403528","16165131PE","",,"AN","","BT","BRBBB-FC","",-49.419219629,-4.135813918,0,0
"UCBT","2000343016","14079320PE","",,"AN","","BT","BRBBB-FC","",-49.465900721,-3.25746614500002,0,0
"UCBT","11212069","13805263PE","",,"AN","","BT","BRBBB-FC","",-49.587833583,-3.42139945999998,0,0
"UCBT","2000082776","16087325PE","",,"AN","","BT","BRBBB-FC","",-49.533328046,-3.960051835,0,0
